Date,Amazon,Apple,Facebook,Google
02-01-2015,308.519989,27.3325,78.449997,523.373108
05-01-2015,302.190002,26.5625,77.190002,512.463013
06-01-2015,295.290009,26.565001,76.150002,500.585632
07-01-2015,298.420013,26.9375,76.150002,499.727997
08-01-2015,300.459991,27.9725,78.18,501.30368
09-01-2015,296.929993,28.002501,77.739998,494.811493
12-01-2015,291.410004,27.3125,76.720001,491.201416
13-01-2015,294.73999,27.555,76.449997,494.821472
14-01-2015,293.269989,27.450001,76.279999,499.498627
15-01-2015,286.950012,26.705,74.050003,500.416107
16-01-2015,290.73999,26.497499,75.18,506.688873
20-01-2015,289.440002,27.18,76.239998,505.512115
21-01-2015,297.25,27.387501,76.739998,516.621643
22-01-2015,310.320007,28.1,77.650002,532.926819
23-01-2015,312.390015,28.245001,77.830002,538.471619
26-01-2015,309.660004,28.275,77.5,533.744629
27-01-2015,306.75,27.285,75.779999,517.210022
28-01-2015,303.910004,28.827499,76.239998,508.603638
29-01-2015,311.779999,29.725,78,509.26181
30-01-2015,354.529999,29.290001,75.910004,533.056519
02-02-2015,364.470001,29.657499,74.989998,527.03302
03-02-2015,363.549988,29.6625,75.400002,527.790955
04-02-2015,364.75,29.889999,75.629997,521.328674
05-02-2015,373.890015,29.985001,75.610001,526.135498
06-02-2015,374.279999,29.7325,74.470001,529.546143
09-02-2015,370.559998,29.93,74.440002,526.384827
10-02-2015,373,30.504999,75.190002,535.469849
11-02-2015,375.140015,31.219999,76.510002,534.502502
12-02-2015,377.170013,31.615,76.230003,541.443481
13-02-2015,381.829987,31.77,75.739998,547.506836
17-02-2015,375.429993,31.9575,75.599998,541.353699
18-02-2015,373.369995,32.18,76.709999,538.22229
19-02-2015,379,32.112499,79.419998,541.383606
20-02-2015,383.660004,32.375,79.900002,537.474365
23-02-2015,380.140015,33.25,78.839996,530.453613
24-02-2015,378.589996,33.0425,78.449997,534.622192
25-02-2015,385.369995,32.197498,79.559998,542.38092
26-02-2015,384.799988,32.605,80.410004,553.959106
27-02-2015,380.160004,32.115002,78.970001,556.871094
02-03-2015,385.660004,32.272499,79.75,569.775696
03-03-2015,384.609985,32.34,79.599998,572.069397
04-03-2015,382.720001,32.134998,80.900002,571.80011
05-03-2015,387.829987,31.602501,81.209999,573.754761
06-03-2015,380.089996,31.65,80.010002,566.130676
09-03-2015,378.559998,31.785,79.440002,567.29248
10-03-2015,369.51001,31.127501,77.550003,553.490417
11-03-2015,366.369995,30.559999,77.57,549.670898
12-03-2015,374.23999,31.112499,78.93,553.989014
13-03-2015,370.579987,30.897499,78.050003,545.821472
16-03-2015,373.350006,31.237499,78.07,552.99176
17-03-2015,371.920013,31.76,79.360001,549.331787
18-03-2015,375.140015,32.1175,80.910004,557.968079
19-03-2015,373.23999,31.875,82.75,556.462219
20-03-2015,378.48999,31.475,83.800003,558.825745
23-03-2015,375.109985,31.8025,84.43,557.279968
24-03-2015,374.089996,31.672501,85.309998,568.628845
25-03-2015,370.959991,30.844999,82.919998,557.255066
26-03-2015,367.350006,31.059999,83.010002,553.649963
27-03-2015,370.559998,30.8125,83.300003,546.838684
30-03-2015,374.589996,31.592501,83.199997,550.518555
31-03-2015,372.100006,31.1075,82.220001,546.499573
01-04-2015,370.26001,31.0625,81.669998,541.074463
02-04-2015,372.25,31.33,81.559998,534.063721
06-04-2015,377.040009,31.8375,82.440002,535.295349
07-04-2015,374.410004,31.502501,82.32,535.549622
08-04-2015,381.200012,31.4,82.279999,540.127075
09-04-2015,383.540009,31.639999,82.169998,539.299377
10-04-2015,382.649994,31.775,82.040001,538.531433
13-04-2015,382.359985,31.7125,83.010002,537.693787
